sex,name,decade,count
F,Sophia,2010,85720
M,Jacob,2010,79359
F,Isabella,2010,79238
F,Emma,2010,77736
M,Mason,2010,70808
F,Olivia,2010,69799
M,Noah,2010,68605
M,Ethan,2010,68389
M,William,2010,67635
M,Michael,2010,65449
M,Jayden,2010,64801
M,Alexander,2010,62362
F,Ava,2010,61501
M,Daniel,2010,59387
M,Aiden,2010,59336
M,Liam,2010,59091
M,Matthew,2010,55371
M,Elijah,2010,55192
F,Emily,2010,55134
M,Anthony,2010,55005
M,James,2010,53815
M,Joshua,2010,53376
F,Abigail,2010,52401
M,David,2010,52039
M,Logan,2010,51671
M,Andrew,2010,51589
M,Benjamin,2010,51586
M,Joseph,2010,51259
M,Christopher,2010,49810
M,Jackson,2010,49098
M,Gabriel,2010,47771
F,Madison,2010,47395
F,Mia,2010,47165
M,Samuel,2010,45586
M,Ryan,2010,44160
M,John,2010,43713
M,Lucas,2010,42864
M,Nathan,2010,41851
F,Chloe,2010,41043
M,Dylan,2010,40286
M,Christian,2010,40201
M,Caleb,2010,39862
F,Elizabeth,2010,39276
M,Jonathan,2010,39081
M,Isaac,2010,38926
M,Landon,2010,38193
F,Ella,2010,36967
M,Luke,2010,35993
M,Carter,2010,35483
F,Addison,2010,35435
M,Gavin,2010,34216
M,Brayden,2010,33949
M,Owen,2010,33863
M,Tyler,2010,33506
M,Evan,2010,33296
M,Jack,2010,33103
M,Nicholas,2010,32982
M,Isaiah,2010,32883
F,Natalie,2010,32690
M,Wyatt,2010,31701
M,Hunter,2010,31537
F,Avery,2010,31423
M,Jordan,2010,31155
F,Lily,2010,31002
F,Sofia,2010,30526
M,Henry,2010,30458
M,Julian,2010,29988
F,Grace,2010,29920
M,Aaron,2010,29791
M,Eli,2010,29648
M,Jeremiah,2010,29581
M,Angel,2010,29543
M,Brandon,2010,29510
M,Connor,2010,29451
F,Samantha,2010,29126
M,Cameron,2010,28827
F,Aubrey,2010,28472
F,Charlotte,2010,28451
M,Adrian,2010,28401
M,Robert,2010,28017
F,Lillian,2010,27996
F,Hannah,2010,27982
M,Charles,2010,27916
