sex,name,year,count
F,Mary,1910,22847
F,Annie,1910,3467
F,Anna,1910,6428
F,Margaret,1910,8222
F,Helen,1910,10474
F,Elsie,1910,2123
F,Lucy,1910,1263
F,Mary,1911,24390
F,Margaret,1911,9279
F,Ruth,1911,7995
F,Annie,1911,3244
F,Elizabeth,1911,6295
F,Helen,1911,11801
F,Mary,1912,32297
F,Elsie,1912,2890
F,Agnes,1912,2937
F,Anna,1912,8584
F,Helen,1912,16133
F,Louise,1912,5106
F,Jean,1912,2022
F,Ruth,1912,11273
F,Mary,1913,36641
F,Elizabeth,1913,9503
F,Margaret,1913,14486
F,Helen,1913,18888
F,Mary,1914,45344
F,Margaret,1914,17762
F,Alice,1914,8197
F,Annie,1914,4756
F,Elizabeth,1914,11365
F,Helen,1914,23220
F,Clara,1914,4235
F,Dorothy,1914,18780
F,Martha,1914,5425
F,Mary,1915,58187
F,Alice,1915,10525
F,Helen,1915,30866
F,Anna,1915,15118
F,Dorothy,1915,25154
F,Margaret,1915,23055
F,Ruth,1915,21881
F,Elizabeth,1915,14103
F,Frances,1915,12787
F,Katherine,1915,4489
F,Martha,1915,7217
F,Mary,1916,61436
F,Helen,1916,32661
F,Dorothy,1916,27415
F,Frances,1916,13746
F,Ruth,1916,23188
F,Alice,1916,10719
F,Anna,1916,15224
F,Agnes,1916,4846
F,Annie,1916,6096
F,Julia,1916,5056
F,Lillian,1916,9592
F,Margaret,1916,24955
F,Mary,1917,64280
F,Margaret,1917,25559
F,Helen,1917,34248
F,Frances,1917,14364
F,Alice,1917,10990
F,Olga,1917,1620
F,Ruth,1917,23566
F,Clara,1917,5620
F,Dorothy,1917,28855
F,Mary,1918,67372
F,Margaret,1918,27138
F,Helen,1918,36152
F,Marie,1918,12587
F,Martha,1918,8339
F,Ruth,1918,25536
F,Anna,1918,15663
F,Gertrude,1918,6261
F,Julia,1918,5264
F,Virginia,1918,16421
F,Alice,1918,11589
F,Elizabeth,1918,15852
F,Mary,1919,65835
F,Margaret,1919,26237
F,Dorothy,1919,31736
F,Betty,1919,10106
F,Helen,1919,33702
F,Martha,1919,8318
F,Virginia,1919,15637
F,Irene,1919,9713
F,Elizabeth,1919,15286
F,Emma,1919,5081
F,Marie,1919,12010
F,Agnes,1919,4899
F,Annie,1919,7129
F,Barbara,1919,4084
F,Frances,1919,15104
F,Gladys,1919,8713
F,Jean,1919,6796
F,Louise,1919,8810
F,Mary,1920,70980
F,Margaret,1920,27995
F,Helen,1920,35097
F,Ruth,1920,26101
F,Martha,1920,8705
F,Elizabeth,1920,15910
F,Virginia,1920,17314
F,Florence,1920,10731
F,Agnes,1920,4900
F,Dorothy,1920,36646
F,Alice,1920,11592
F,Anna,1920,14578
F,Edith,1920,7773
F,Annie,1920,7241
F,Betty,1920,14012
F,Elsie,1920,4990
F,Ethel,1920,7868
F,Irene,1920,10068
F,Katie,1920,1067
F,Rose,1920,9011
F,Mary,1921,73981
F,Dorothy,1921,39080
F,Alice,1921,11952
F,Margaret,1921,28463
F,Annie,1921,7196
F,Helen,1921,34821
F,Elizabeth,1921,15799
F,Virginia,1921,19026
F,Katherine,1921,5147
F,Mildred,1921,17882
F,Anna,1921,14468
F,Mary,1922,72172
F,Helen,1922,32508
F,Alice,1922,11273
F,Anna,1922,13403
F,Margaret,1922,26864
F,Martha,1922,9011
F,Louise,1922,8884
F,Katherine,1922,4825
F,Annie,1922,7446
F,Dorothy,1922,37710
F,Elizabeth,1922,15236
F,Emma,1922,5009
F,Esther,1922,5474
F,Marie,1922,11913
F,Ruth,1922,23627
F,Mary,1923,71631
F,Elizabeth,1923,15459
F,Anna,1923,12856
F,Dorothy,1923,39038
F,Helen,1923,31491
F,Ruth,1923,23639
F,Annie,1923,7083
F,Margaret,1923,26127
F,Frances,1923,14871
F,Marie,1923,11506
F,Florence,1923,9745
F,Agnes,1923,4218
F,Alice,1923,11330
F,Betty,1923,25991
F,Edna,1923,7299
F,Elsie,1923,4548
F,Ethel,1923,6539
F,Virginia,1923,18328
F,Mary,1924,73520
F,Elizabeth,1924,14948
F,Margaret,1924,26555
F,Betty,1924,30598
F,Anna,1924,13080
F,Dorothy,1924,40000
F,Marie,1924,11576
F,Ruth,1924,23599
F,Alice,1924,11540
F,Patricia,1924,6954
F,Irene,1924,9929
F,Mildred,1924,15847
F,Esther,1924,5255
F,Ida,1924,3861
F,Olga,1924,1418
F,Mary,1925,70600
F,Margaret,1925,24462
F,Agnes,1925,3910
F,Betty,1925,32815
F,Lillian,1925,8354
F,Mildred,1925,14447
F,Esther,1925,4722
F,Helen,1925,29165
F,Ruth,1925,22248
F,Anna,1925,12246
F,Dorothy,1925,38572
F,Emma,1925,4690
F,Evelyn,1925,12506
F,Norma,1925,6938
F,Sarah,1925,4678
F,Florence,1925,8581
F,Louise,1925,8272
F,Marie,1925,10924
F,Pauline,1925,6728
F,Mary,1926,67828
F,Margaret,1926,23065
F,Alice,1926,10957
F,Anna,1926,11700
F,Lucy,1926,2518
F,Martha,1926,8557
F,Esther,1926,4451
F,Helen,1926,26885
F,Elizabeth,1926,12831
F,Florence,1926,8177
F,Gladys,1926,6631
F,Irene,1926,9162
