name,sex,gender.prob
Alva,F,0.502539682539683
Kris,F,0.503681885125184
Riley,M,0.504034743016233
Jessie,F,0.505720749312371
Unknown,F,0.512634408602151
Ivory,F,0.514158447343303
Yael,F,0.51602176541717
Infant,M,0.516466208476518
Amari,M,0.518106144955199
Justice,M,0.518668937508188
Kerry,F,0.519337222754357
Carey,M,0.524354523757865
Michal,F,0.524974515800204
Baby,M,0.535128365685661
Milan,F,0.53611979595195
Emerson,F,0.537116714775884
Landry,M,0.538125
Blair,F,0.544590284592738
Lavern,M,0.544704264099037
Devyn,F,0.547169811320755
Harley,M,0.555011083887528
Britt,M,0.555731225296443
Carrol,M,0.557443365695793
Jaime,M,0.558344121454631
Armani,M,0.562512685203978
Kalani,F,0.565626547795939
Lavon,F,0.566011235955056
Leighton,F,0.568214456677836
Jael,F,0.568550153307052
Robbie,M,0.571450623239301
Jackie,F,0.571451398583755
Lorenza,M,0.573140289565652
Peyton,F,0.575876273930851
Jaedyn,F,0.582590456213949
Ryley,M,0.587922521838207
Casey,M,0.590750938823501
Arden,F,0.59189534141672
Jaylin,M,0.594511177844511
Rowan,M,0.601852491878067
Charley,M,0.602399553571429
Santana,F,0.603386809269162
Stevie,M,0.604226918798665
Reilly,F,0.604445318646735
Remy,M,0.619894598155468
Elisha,F,0.621439898509356
Emery,F,0.621445915250255
Shea,F,0.621563893016345
Shay,F,0.624704336399474
Pat,F,0.628610288823106
Rian,M,0.630590339892665
