year,age,sex,count,percent
2014,0,F,2076818,1.3
2014,1,F,2069197,1.3
2014,2,F,2060620,1.3
2014,3,F,1969647,1.2
2014,4,F,1957875,1.2
2014,5,F,1958573,1.2
2014,6,F,2019412,1.2
2014,7,F,2026060,1.3
2014,8,F,2008126,1.2
2014,9,F,2002514,1.2
2014,10,F,2007605,1.2
2014,11,F,1993281,1.2
2014,12,F,1983949,1.2
2014,13,F,2030597,1.3
2014,14,F,2056832,1.3
2014,15,F,2023346,1.3
2014,16,F,2024240,1.3
2014,17,F,2032883,1.3
2014,18,F,2046064,1.3
2014,19,F,2090317,1.3
2014,20,F,2134290,1.3
2014,21,F,2165000,1.3
2014,22,F,2231716,1.4
2014,23,F,2286069,1.4
2014,24,F,2287936,1.4
2014,25,F,2199573,1.4
2014,26,F,2152399,1.3
2014,27,F,2118813,1.3
2014,28,F,2132944,1.3
2014,29,F,2159574,1.3
2014,30,F,2102047,1.3
2014,31,F,2140881,1.3
2014,32,F,2146678,1.3
2014,33,F,2127783,1.3
2014,34,F,2162789,1.3
2014,35,F,2038566,1.3
2014,36,F,2000795,1.2
2014,37,F,1986382,1.2
2014,38,F,1927583,1.2
2014,39,F,1985261,1.2
2014,40,F,1932153,1.2
2014,41,F,1968882,1.2
2014,42,F,2056079,1.3
2014,43,F,2176199,1.3
2014,44,F,2195466,1.4
2014,45,F,2085470,1.3
2014,46,F,2044765,1.3
2014,47,F,2054134,1.3
2014,48,F,2092404,1.3
2014,49,F,2221292,1.4
2014,50,F,2272517,1.4
2014,51,F,2276459,1.4
2014,52,F,2276185,1.4
2014,53,F,2310811,1.4
2014,54,F,2326747,1.4
2014,55,F,2258860,1.4
2014,56,F,2250628,1.4
2014,57,F,2233344,1.4
2014,58,F,2160727,1.3
2014,59,F,2145123,1.3
2014,60,F,2068503,1.3
2014,61,F,1994318,1.2
2014,62,F,1919352,1.2
2014,63,F,1866878,1.2
2014,64,F,1822551,1.1
2014,65,F,1773530,1.1
2014,66,F,1755571,1.1
2014,67,F,1828354,1.1
2014,68,F,1357598,0.8
2014,69,F,1344059,0.8
2014,70,F,1315172,0.8
2014,71,F,1347965,0.8
2014,72,F,1181456,0.7
2014,73,F,1087221,0.7
2014,74,F,1030572,0.6
2014,75,F,968941,0.6
2014,76,F,933913,0.6
2014,77,F,865707,0.5
2014,78,F,830974,0.5
2014,79,F,802482,0.5
2014,80,F,723478,0.4
2014,81,F,704091,0.4
2014,82,F,676145,0.4
2014,83,F,647878,0.4
2014,84,F,624746,0.4
2014,85-89,F,2420464,1.5
2014,90-94,F,1243054,0.8
2014,95-99,F,350761,0.2
2014,100+,F,60228,0
2014,0,M,2173523,1.4
2014,1,M,2164879,1.4
2014,2,M,2155492,1.4
2014,3,M,2060064,1.3
2014,4,M,2043191,1.3
2014,5,M,2041528,1.3
2014,6,M,2107845,1.3
2014,7,M,2119160,1.3
2014,8,M,2101526,1.3
2014,9,M,2093101,1.3
2014,10,M,2095429,1.3
2014,11,M,2078730,1.3
2014,12,M,2069083,1.3
2014,13,M,2120806,1.4
2014,14,M,2155992,1.4
2014,15,M,2120091,1.3
2014,16,M,2121669,1.4
2014,17,M,2127727,1.4
2014,18,M,2153087,1.4
2014,19,M,2209235,1.4
2014,20,M,2261416,1.4
2014,21,M,2304171,1.5
2014,22,M,2361047,1.5
2014,23,M,2390922,1.5
2014,24,M,2386692,1.5
2014,25,M,2293887,1.5
2014,26,M,2240135,1.4
2014,27,M,2201244,1.4
2014,28,M,2207752,1.4
2014,29,M,2219171,1.4
2014,30,M,2141200,1.4
2014,31,M,2169960,1.4
2014,32,M,2165349,1.4
2014,33,M,2138863,1.4
2014,34,M,2190063,1.4
2014,35,M,2044738,1.3
2014,36,M,2000787,1.3
2014,37,M,1974965,1.3
2014,38,M,1917720,1.2
2014,39,M,1980610,1.3
2014,40,M,1911009,1.2
2014,41,M,1934988,1.2
2014,42,M,2025718,1.3
2014,43,M,2141770,1.4
2014,44,M,2178172,1.4
2014,45,M,2060708,1.3
2014,46,M,2016366,1.3
2014,47,M,2012576,1.3
2014,48,M,2052252,1.3
2014,49,M,2174309,1.4
2014,50,M,2206572,1.4
2014,51,M,2201263,1.4
2014,52,M,2194740,1.4
2014,53,M,2216689,1.4
2014,54,M,2239216,1.4
2014,55,M,2155345,1.4
2014,56,M,2138331,1.4
2014,57,M,2108387,1.3
2014,58,M,2026948,1.3
2014,59,M,2006051,1.3
2014,60,M,1913525,1.2
2014,61,M,1836694,1.2
2014,62,M,1763526,1.1
2014,63,M,1701045,1.1
2014,64,M,1659167,1.1
2014,65,M,1605484,1
2014,66,M,1587052,1
2014,67,M,1650239,1.1
2014,68,M,1209645,0.8
2014,69,M,1185014,0.8
2014,70,M,1147665,0.7
2014,71,M,1167837,0.7
2014,72,M,1009240,0.6
2014,73,M,911807,0.6
2014,74,M,855815,0.5
2014,75,M,801557,0.5
2014,76,M,756261,0.5
2014,77,M,687714,0.4
2014,78,M,647131,0.4
2014,79,M,608724,0.4
2014,80,M,538317,0.3
2014,81,M,509189,0.3
2014,82,M,475652,0.3
2014,83,M,441501,0.3
2014,84,M,410417,0.3
2014,85-89,M,1408466,0.9
2014,90-94,M,562765,0.4
2014,95-99,M,114047,0.1
2014,100+,M,13105,0
